pre.1	pre.2	pre.3	post.1	post.2	post.3
575	179	335	505	172	204
294	245	256	396	390	265
293	282	320	372	240	204
303	282	250	307	243	227
396	271	171	327	216	103
238	261	271	245	234	215
129	273	176	240	317	226
116	228	160	222	317	225
224	204	186	206	227	213
187	110	178	198	199	303
192	178	206	259	155	125
246	157	129	251	175	105
176	129	131	199	213	210
190	207	104	234	163	130
200	199	94	220	148	155
202	145	139	153	175	183
202	135	128	156	176	185
114	174	103	131	216	193
151	159	129	174	173	138
188	156	127	142	152	158
112	133	160	131	157	160
116	147	118	211	177	68
153	155	104	147	150	118
158	101	185	101	125	147
133	156	130	141	115	95
192	129	82	158	104	58
126	112	95	158	89	135
164	101	79	130	126	114
101	118	114	135	135	86
89	135	126	99	115	96
95	86	81	104	120	112
147	101	83	113	91	61
83	95	92	101	99	98
86	61	80	85	90	161
166	41	106	101	76	57
80	103	84	93	96	81
79	59	103	81	85	106
69	84	116	81	45	107
50	88	62	75	119	107
72	96	68	101	90	55
57	85	88	72	88	89
73	82	103	74	69	72
76	59	73	101	82	75
55	70	94	86	65	94
60	88	68	68	87	82
77	73	63	72	91	71
41	65	98	86	71	85
13	190	67	27	76	73
29	127	75	87	85	41
94	46	66	73	66	98
74	76	72	73	71	73
72	80	64	62	82	74
76	59	55	69	84	75
75	90	72	69	59	53
53	50	88	78	57	87
35	82	58	89	43	102
69	44	77	83	51	58
70	57	55	64	71	64
41	60	85	69	57	67
11	26	45	76	102	113
16	99	87	10	83	77
47	49	64	83	62	62
65	48	73	60	56	64
64	62	55	61	49	73
56	52	57	62	66	68
51	77	50	61	60	59
0	69	66	78	89	52
59	72	43	60	78	40
54	59	47	66	62	63
54	91	45	89	53	18
36	60	66	62	70	52
46	78	35	65	82	37
60	66	38	61	59	58
41	69	63	55	61	49
69	34	62	76	42	54
54	77	48	59	64	35
53	57	43	52	64	58
67	54	42	58	49	54
59	54	46	60	54	49
70	58	38	51	74	31
48	57	53	54	55	54
45	63	63	53	43	54
79	26	71	30	65	50
71	36	78	32	48	55
47	31	64	48	54	70
69	33	63	15	75	58
10	82	56	97	46	19
47	39	45	53	59	63
41	62	33	47	62	55
53	47	38	57	54	39
33	62	41	47	55	49
0	104	11	27	131	12
45	39	41	54	45	59
40	38	46	48	59	48
68	27	20	70	56	36
58	45	35	43	48	47
