Control1	Control2	Treated1	Treated2
19632834.42	26434682.93	7595239.935	13965938.6
10267383.85	8903262.783	0	0
72400218.27	62917263.68	40132138.17	33769283.64
0	12237278.42	4464492.698	6023369.482
0	0	0	0
0	0	0	0
4378391.02	0	2033575.458	531082.9388
5096975.366	6805583.985	4627154.007	3451580.877
1387901.466	1201211.774	1670697.782	0
1126676.021	1081016.908	0	0
0	0	0	0
52308231.99	11489744.95	5693532.185	0
0	681950.3009	0	0
36923136.89	40619805.95	15753419.36	17986482.36
4222949.797	3668154.092	1923267.135	2765999.695
0	4925778.851	8118769.801	0
5302151.543	5372743.276	5357391.237	6695814.877
4280402.245	4009497.687	2964144.966	5854589.888
0	0	0	0
0	0	0	0
23927346.43	27284562.16	15176570.59	12907438.52
0	4627584.231	0	0
7409884.627	3771482.376	0	0
17068132.21	23107217.42	10246889.73	12231938.29
3785469.286	5141933.107	3459469.902	4450511.685
114655441.2	110066729.4	68870257.32	63693294.64
8942937.325	9154623.982	0	0
0	0	0	0
39602432.18	0	0	0
11744621.14	0	0	0
4056594.949	4211323.535	2275249.208	2164311.899
7086607.421	7610103.574	3473572.367	3766343.363
0	0	0	0
160835672	155409997.1	105212116.5	101095921.8
0	73713513.73	0	88956774.1
82187402.56	83096573.46	27604126.42	35917595.85
0	0	0	0
0	0	0	0
95151231.68	104474556.8	58554207.56	55273407.67
4930542.563	0	0	0
4746881.821	6193392.557	0	6736291.431
0	14724689.89	0	0
36572341.75	43726204.61	0	0
43093233.55	42044459	18719959.82	26865740.03
29080137.2	31213820.77	15812147.44	12453795.63
5540770.19	0	0	0
1480043.655	1463135.055	954408.4692	0
43704396.63	46033487.53	19932385.44	18818542.84
30542563.14	23085929.5	11323699.87	10344050.71
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
11112410.35	4191018.136	6411791.979	2287498.091
101527907.7	115544274.8	60389459.86	63727661.52
0	0	0	0
5813143.124	8201580.219	1895332.664	0
3387667.602	4540795.022	0	0
47431400.06	61914275.19	18773278.73	20940507.1
22341752.42	25047693.13	11475542.85	22234229.42
44744309.32	62951651.86	25638667.8	31412860.85
0	0	0	8188101.42
7643046.461	6322266.345	0	1453070.108
0	0	0	0
0	8827117.534	1660343.096	0
13132210.79	0	3130940.422	5224530.319
0	4899823.965	0	0
3303009.043	4218446.801	2118074.337	2688865.129
18902401	24766037.58	7173325.091	7084924.393
22604459	45021492.61	10627849.47	0
156002494.5	155590125.7	33936712.77	25401328.85
0	0	0	0
18780012.47	20799934.5	12762537.67	12134947.3
0	0	0	0
37151543.5	42317108.12	0	0
0	0	0	0
106930152.8	137159700.3	27018391.16	43466473.19
0	0	0	0
0	0	0	0
0	0	15159956.73	0
115224508.9	110680804	69867089.1	61157782.19
0	0	0	0
0	1645146.764	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
3002962.27	2608834.486	0	0
12765824.76	0	5751873.889	7483580.266
583543810.4	286281573.7	401514566.1	153589430.3
36821796.07	64259221.35	32952631.17	31072628.68
0	0	0	0
343677892.1	241683383.1	195247662.5	248564227.9
88189897.1	108363695.9	46673363.73	79780815.64
25211256.63	39008474.23	0	27007407.97
3602198.316	5477463.463	0	0
12765824.76	27549842.39	4411560.158	9088895.677
114172123.5	115405084.5	71458928.99	73911715.29
0	0	4126806.275	5172979.991
120034300	77336553.81	65041341.47	170730869.1
22994231.37	36995128.34	4160806.738	9952268.214
0	0	0	0
0	0	0	0
1792874.961	0	0	0
9718584.347	11049248.78	0	0
0	4628157.367	0	5645333.741
0	5189912.801	12341781.93	18071635.86
0	0	0	0
0	0	0	0
41793732.46	35455029.27	0	20710630.82
246936389.1	320203054	118483888.4	111776386.1
56419550.98	62634789.37	18942121.94	17658851.38
0	0	0	0
17945120.05	12886559.95	0	6630517.794
8935921.422	7595529.537	5549802.952	8842217.81
2820860.617	4623654.153	0	0
15127845.34	0	0	0
1907935.766	3354321.038	702418.6693	1514357.721
7541939.507	6720596.062	0	0
0	1934826.217	0	1213303.803
4064702.214	0	0	0
7682569.379	16034715.68	6538907.349	4765541.469
0	0	0	0
34545525.41	28173742.17	43253998.92	21032915.84
0	0	0	0
0	0	0	0
0	0	0	0
8359837.855	0	0	3917443.104
7513252.261	0	0	0
0	2442461.211	0	0
5244153.414	0	0	0
1896086.685	1664469.644	0	1572437.758
3485032.741	0	2523375.319	1301015.732
241713439.4	228927007	129653813.5	99847258.29
0	0	0	0
2480355.472	2778482.826	0	0
15693015.28	6727801.204	1995634.031	1743050.252
0	0	0	3411600.733
0	0	2193918.553	0
2572731.525	2235395.259	1358550.344	1485413.166
0	0	0	0
0	0	6121628.931	2490262.716
7199563.455	7271298.154	4915385.21	0
93724664.8	84439349.9	59334672.75	57755460.52
0	0	0	0
0	0	0	0
0	985303.1482	656672.591	486596.9146
67594324.91	113898554.9	47573603.28	51508324.42
0	0	0	0
14714686.62	11854914.64	0	0
158723105.7	153379457.2	21506838.73	7047502.673
0	3217668.973	939610.5401	0
0	0	0	0
4064390.396	4595652.352	0	3119902.245
0	0	0	0
141775802.9	150595652.4	101139788.3	179066748.1
0	0	0	0
87215466.17	193531747.7	94633335.91	115476554.1
6093155.597	8755884.881	9053782.552	9295096.991
0	0	0	0
0	0	0	0
116331462.4	123338928.2	100714782.5	123270200.1
5304646.087	0	1960706.282	14162211.7
71325226.07	133557129.4	62904721.43	57659996.95
0	0	0	0
130932335.5	63324190.44	122223939.4	60206965.02
264374805.1	219470258.3	251170697.8	171162364.4
0	0	0	0
74371686.93	92119376.1	92767174.1	99018634.49
0	0	0	0
0	37934253.08	44644926.98	51966549.56
30473963.21	28859049.41	40877830.15	27053994.2
12340193.33	0	20880148.37	24743012.07
23638914.87	18557334.1	18058496.25	363093.7834
0	15823474.02	15794760.84	21927218.57
0	0	0	0
20396788.28	28796004.42	0	27244157.63
16295603.37	10232120.19	17264121.78	13055979.84
0	0	0	0
0	0	0	0
134448082.3	73085520.12	59454447.11	69837330.07
16209073.9	28669095.67	5536666.409	0
